year,month,day,round,hometeamindex,awayteamindex,homewinodds, drawodds , awaywinodds ,overtime,homescore,awayscore
2016,8,6,,11,10,4.38,, 1.21 ,,110,81
2016,8,6,,8,9,7.22,, 1.09 ,,84,92
2016,8,6,,1,2,1.01,, 17.55 ,,177,39
2016,8,6,,18,12,2.23,, 1.65 ,,61,47
2016,8,7,,3,15,2.34,, 1.60 ,,51,122
2016,8,7,,6,17,5.21,, 1.16 ,,64,110
2016,8,7,,7,5,1.01,, 16.14 ,,100,34
2016,8,12,,18,4,1.35,, 3.21 ,,95,92
2016,8,13,,2,3,3.15,, 1.35 ,,99,95
2016,8,13,,10,12,1.27,, 3.73 ,,96,57
2016,8,13,,9,17,1.27,, 3.73 ,,96,97
2016,8,13,,13,11,1.44,, 2.78 ,,54,94
2016,8,13,,15,16,3.32,, 1.33 ,,76,146
2016,8,14,,5,8,3.04,, 1.38 ,,75,69
2016,8,14,,6,1,7.42,, 1.09 ,,70,142
2016,8,14,,14,7,5.51,, 1.15 ,,78,82
2016,8,19,,17,10,1.76,, 2.05 ,,92,67
2016,8,20,,12,16,3.47,, 1.31 ,,76,85
2016,8,20,,14,15,2.31,, 1.62 ,,46,55
2016,8,20,,9,6,1.01,, 15.11 ,,129,37
2016,8,20,,13,1,7.71,, 1.09 ,,94,109
2016,8,20,,4,8,1.22,, 4.22 ,,118,47
2016,8,21,,3,11,4.3,, 1.22 ,,78,58
2016,8,21,,2,7,12.39,, 1.03 ,,69,129
2016,8,21,,5,18,6.83,, 1.10 ,,53,93
2016,8,26,,1,17,1.26,, 3.85 ,,71,100
2016,8,27,,7,11,1.15,, 5.49 ,,155,44
2016,8,27,,5,3,3.21,, 1.35 ,,103,79
2016,8,27,,16,14,1.04,, 11.37 ,,164,51
2016,8,27,,8,13,2.77,, 1.44 ,,66,89
2016,8,27,,12,9,2.7,, 1.46 ,,63,100
2016,8,28,,15,2,1.05,, 10.13 ,,161,103
2016,8,28,,6,18,2.85,, 1.44 ,,69,49
2016,8,28,,10,4,1.29,, 3.62 ,,112,111
2016,9,8,,17,18,1.26,, 3.89 ,,52,99
2016,9,9,,7,10,1.62,, 2.30 ,,85,83
2016,9,10,,16,9,1.5,, 2.59 ,,55,91
2016,9,10,,1,12,1.15,, 5.48 ,,141,79
2016,9,16,,10,18,1.55,, 2.46 ,,84,107
2016,9,17,,16,1,1.59,, 2.38 ,,118,82
2016,9,23,,7,16,1.66,, 2.23 ,,60,97
2016,9,24,,9,18,1.38,, 3.04 ,,83,89
2016,10,1,,16,18,1.51,,2.6,,67,89
